outcome_OutcomeID,outcome_StudyID,outcomeType,outcomeSpecific,icdCodes,prinicpalDiagnosis,outcomeDefinition,Statistical distribution,measureType,outcomeComment,study_StudyID,reviewer,dateExtracted,title,authors,publicationYear,author,studyDesign,country,region,setting,startDate,endDate,studyLength,recruitment,samplingUnit,numberOfSamplingUnits,dataCollection,ageRange,retentionRate,inclusionCriteria,Bias in Sampling frame,Standard endpoints,Confounder,Reliability,Sufficient information,qualityComment,subgroup_StudyID,subgroup_OutcomeID,SubgroupID,subgroupType,subgroupDescription,sampleSize,personYears,populationDenominator,caseCount,measureScale,estimate,lci,uci,uciEstimate,Is confidence 95%,gasCases,gasControls,gasMethod,attributableFraction,subgroupComment,weighting
30,30,Post GAS infection reactions,APSGN,no,,"Haematuria and or heavy proteinuria† associated with recent evidence of streptococcal infection‡ in absence of clinical or histological evidence of previous renal disease in the presence of transient C3
hypocomplementaemia (normalising within 8 weeks). Oe",poisson,incidence rate,,30,Padraig,13-May-15,Prospective population-based study on the burden of disease from post-streptococcal glomerulonephritis of hospitalised children in New Zealand,"Wong W, Lennon DR, Crone S, Neutze JM, Reed PW",2013,"Wong et al., 2013",retrospective cohort,New Zealand,National,hospital,1/09/2007,31/08/2009,2 years,passive case finding,cases notification,176,clinical records,1.4-14.7 years,,,No,Yes,Yes,Yes,Yes,"Good. High ascertainment of cases through 93-95% response rate. high risk of hospitalisation and acute, hospital based study likely to capture most cases but no ascertainment Ethnicity self-defined but no other plausible method.",30,30,53,Ethnicity,Maori,69,-9,220000,69,per 100000 children per year,15.7,12.2,19.9,19.9,TRUE,0,0,,0,,5
30,30,Post GAS infection reactions,APSGN,no,,"Haematuria and or heavy proteinuria† associated with recent evidence of streptococcal infection‡ in absence of clinical or histological evidence of previous renal disease in the presence of transient C3
hypocomplementaemia (normalising within 8 weeks). Oe",poisson,incidence rate,,30,Padraig,13-May-15,Prospective population-based study on the burden of disease from post-streptococcal glomerulonephritis of hospitalised children in New Zealand,"Wong W, Lennon DR, Crone S, Neutze JM, Reed PW",2013,"Wong et al., 2013",retrospective cohort,New Zealand,National,hospital,1/09/2007,31/08/2009,2 years,passive case finding,cases notification,176,clinical records,1.4-14.7 years,,,No,Yes,Yes,Yes,Yes,"Good. High ascertainment of cases through 93-95% response rate. high risk of hospitalisation and acute, hospital based study likely to capture most cases but no ascertainment Ethnicity self-defined but no other plausible method.",30,30,54,Ethnicity,Pacific Islander incidence APSGN NZ children 0-14 years,176,-9,85000,77,per 100000 children per year,45.5,35.9,56.8,56.8,TRUE,0,0,,0,European and asian incidence also recored in study,5
30,30,Post GAS infection reactions,APSGN,no,,"Haematuria and or heavy proteinuria† associated with recent evidence of streptococcal infection‡ in absence of clinical or histological evidence of previous renal disease in the presence of transient C3
hypocomplementaemia (normalising within 8 weeks). Oe",poisson,incidence rate,,30,Padraig,13-May-15,Prospective population-based study on the burden of disease from post-streptococcal glomerulonephritis of hospitalised children in New Zealand,"Wong W, Lennon DR, Crone S, Neutze JM, Reed PW",2013,"Wong et al., 2013",retrospective cohort,New Zealand,National,hospital,1/09/2007,31/08/2009,2 years,passive case finding,cases notification,176,clinical records,1.4-14.7 years,,,No,Yes,Yes,Yes,Yes,"Good. High ascertainment of cases through 93-95% response rate. high risk of hospitalisation and acute, hospital based study likely to capture most cases but no ascertainment Ethnicity self-defined but no other plausible method.",30,30,55,Rurality,Auckland region incidence NZ children 0-14 years,176,-9,308000,110,"per 100,000 children per year",17.9,14.7,21.5,21.5,TRUE,0,0,,0,,5
30,30,Post GAS infection reactions,APSGN,no,,"Haematuria and or heavy proteinuria† associated with recent evidence of streptococcal infection‡ in absence of clinical or histological evidence of previous renal disease in the presence of transient C3
hypocomplementaemia (normalising within 8 weeks). Oe",poisson,incidence rate,,30,Padraig,13-May-15,Prospective population-based study on the burden of disease from post-streptococcal glomerulonephritis of hospitalised children in New Zealand,"Wong W, Lennon DR, Crone S, Neutze JM, Reed PW",2013,"Wong et al., 2013",retrospective cohort,New Zealand,National,hospital,1/09/2007,31/08/2009,2 years,passive case finding,cases notification,176,clinical records,1.4-14.7 years,,,No,Yes,Yes,Yes,Yes,"Good. High ascertainment of cases through 93-95% response rate. high risk of hospitalisation and acute, hospital based study likely to capture most cases but no ascertainment Ethnicity self-defined but no other plausible method.",30,30,56,Rurality,Rest of NZ region incidence NZ children 0-14 years,176,-9,598000,66,"per 100,000 children per year",5.5,4.3,7,7,TRUE,0,0,,0,,5
31,10,Post GAS infection reactions,APSGN,-9,Not stated,Not stated,-9,incidence rate,,10,Padraig,04-May-15,Burden of paediatric pyoderma and scabies in North West Queensland,"Whitehall J, Kuzulugil D, Sheldrick K, Wood A",2013,"Whitehall et al., 2013",retrospective cohort,Australia,North west Queensland,hospital admissions,2006,2010,5 years,hospital record audit,individual,-9,hospital and clinical records,<14 years,,children less than 14 years of age admitted to the childrens ward of Mt Isa Base Hospital between 2006 and 2010,Yes,Unclear,No,Unclear,No,"potential for bias as only captures admissions to the central hospital, might miss cases that arent reported. Sample is almost entirely  indigenous and only the one age group",10,31,57,Age,annual incidence APSGN children 5-14 years,-9,-9,-9,23,"per 100,000 children",53,-9,-9,53,TRUE,0,0,,0,all sample indigenous,5
32,32,Post GAS infection reactions,APSGN,no,,"clinically compatible illness (two of hematuria, hypertension, and facial or peripheral edema) and laboratory evidence including hematuria (> 10 red blood
cells/?L), plus evidence of streptococcal infection with either positive streptococcal serology (ant",poisson,incidence rate,population estimates 2007  ABS,32,Padraig,14-May-15,Acute post-streptococcal glomerulonephritis in the Northern Territory of Australia,"Marshall CS, Cheng AC, Markey PG, Towers RJ, Richardson LJ, Fagan PK, Scott L, Krause VL, Currie BJ",2011,"Marshall et al., 2011",retrospective cohort,Australia,Northern Territory,community,1991,july 2008,approx.  16 years,notifications database,confirmed cases,415,hospital patient records and notification data,,,not dependent on notification to NTCDC but on hospital information,Unclear,Yes,Unclear,Unclear,No,ARIA score,32,32,58,Total,"annual incidence /100,000 persons",383,3067895,214929,383,per 100000 py,12.5,11.3,13.8,13.8,TRUE,0,0,,0,,5
32,32,Post GAS infection reactions,APSGN,no,,"clinically compatible illness (two of hematuria, hypertension, and facial or peripheral edema) and laboratory evidence including hematuria (> 10 red blood
cells/?L), plus evidence of streptococcal infection with either positive streptococcal serology (ant",poisson,incidence rate,population estimates 2007  ABS,32,Padraig,14-May-15,Acute post-streptococcal glomerulonephritis in the Northern Territory of Australia,"Marshall CS, Cheng AC, Markey PG, Towers RJ, Richardson LJ, Fagan PK, Scott L, Krause VL, Currie BJ",2011,"Marshall et al., 2011",retrospective cohort,Australia,Northern Territory,community,1991,july 2008,approx.  16 years,notifications database,confirmed cases,415,hospital patient records and notification data,,,not dependent on notification to NTCDC but on hospital information,Unclear,Yes,Unclear,Unclear,No,ARIA score,32,32,59,Ethnicity,indigenous all ages NT,383,906670,65159,360,"per 100,000 py",39.7,35.7,44,44,TRUE,0,0,,0,,5
32,32,Post GAS infection reactions,APSGN,no,,"clinically compatible illness (two of hematuria, hypertension, and facial or peripheral edema) and laboratory evidence including hematuria (> 10 red blood
cells/?L), plus evidence of streptococcal infection with either positive streptococcal serology (ant",poisson,incidence rate,population estimates 2007  ABS,32,Padraig,14-May-15,Acute post-streptococcal glomerulonephritis in the Northern Territory of Australia,"Marshall CS, Cheng AC, Markey PG, Towers RJ, Richardson LJ, Fagan PK, Scott L, Krause VL, Currie BJ",2011,"Marshall et al., 2011",retrospective cohort,Australia,Northern Territory,community,1991,july 2008,approx.  16 years,notifications database,confirmed cases,415,hospital patient records and notification data,,,not dependent on notification to NTCDC but on hospital information,Unclear,Yes,Unclear,Unclear,No,ARIA score,32,32,60,Ethnicity,Indigenous NT children 0-14 years,383,332981,22540,314,"per 100,000 py",94.3,84.2,105.3,105.3,TRUE,0,0,,0,more age rates presented. Indigenous 0-14 the highest rate,5
33,35,Post GAS infection reactions,APSGN,"ICD9 580.0, 580.9, 580.4, 580.8",Principal,NT guidelines for APSGN,poisson,incidence rate,"note that higher proportion of aboringial cases than state % who identifiy as indigenous, no prevalence or incidence stats around that though",35,Padraig,14-May-15,Acute poststreptococcal glomerulonephritis: public health implications of recent clusters in New South Wales and epidemiology of hospital admissions,"Muscatello DJ, O'Grady KA, Nevillw K, McAnulty J",2001,"Muscatello et al., 2001",retrospective cohort,Australia,NSW,hospitalbased,1/07/1989,30/06/1998,9 year,NSW inpatient statistics database,discharges with relevant ICD code,347,,,,,Yes,Yes,Yes,No,Yes,"hospital admissions, unhospitalised clustering a possibility mentioned in paper.
ICD coding often vague regarding condition specific.
Underreporting of indigenous status",35,33,61,Total,"average annual rate residents <20 years across NSW, 1989-1998",347,-9,-9,347,"per 100,000 residents",2.2,2,2.5,2.5,TRUE,0,0,,0,,5
33,35,Post GAS infection reactions,APSGN,"ICD9 580.0, 580.9, 580.4, 580.8",Principal,NT guidelines for APSGN,poisson,incidence rate,"note that higher proportion of aboringial cases than state % who identifiy as indigenous, no prevalence or incidence stats around that though",35,Padraig,14-May-15,Acute poststreptococcal glomerulonephritis: public health implications of recent clusters in New South Wales and epidemiology of hospital admissions,"Muscatello DJ, O'Grady KA, Nevillw K, McAnulty J",2001,"Muscatello et al., 2001",retrospective cohort,Australia,NSW,hospitalbased,1/07/1989,30/06/1998,9 year,NSW inpatient statistics database,discharges with relevant ICD code,347,,,,,Yes,Yes,Yes,No,Yes,"hospital admissions, unhospitalised clustering a possibility mentioned in paper.
ICD coding often vague regarding condition specific.
Underreporting of indigenous status",35,33,62,Rurality,Inner sydney: Central Sydney health region:  <20 years,347,-9,-9,-9,"per 100,000 residents",2.3,1.4,3.5,3.5,TRUE,0,0,,0,,5
33,35,Post GAS infection reactions,APSGN,"ICD9 580.0, 580.9, 580.4, 580.8",Principal,NT guidelines for APSGN,poisson,incidence rate,"note that higher proportion of aboringial cases than state % who identifiy as indigenous, no prevalence or incidence stats around that though",35,Padraig,14-May-15,Acute poststreptococcal glomerulonephritis: public health implications of recent clusters in New South Wales and epidemiology of hospital admissions,"Muscatello DJ, O'Grady KA, Nevillw K, McAnulty J",2001,"Muscatello et al., 2001",retrospective cohort,Australia,NSW,hospitalbased,1/07/1989,30/06/1998,9 year,NSW inpatient statistics database,discharges with relevant ICD code,347,,,,,Yes,Yes,Yes,No,Yes,"hospital admissions, unhospitalised clustering a possibility mentioned in paper.
ICD coding often vague regarding condition specific.
Underreporting of indigenous status",35,33,63,Rurality,rural region: Macquarie Health area: <20 years,347,-9,-9,-9,"per 100,000 residents",3.2,1.5,5.9,5.9,TRUE,0,0,,0,,5
34,36,Direct sequel of post-infection reactions,Chronic renal failure,no,Not stated,"""overt albuminuria"" ACR >= 34 mg/mmol",normal,prevalence,subgroups for trace and all renal function changes and unadjusted OR also presented,36,Padraig,15-May-15,Childhood post-streptococcal glomerulonephritis as a risk factor for chronic renal disease in later life,"White AV, Hoy WE, McCredie DA",2001,"White et al., 2001",retrospective cohort,Australia,Top End NT,community,1992,1998,,at screening,individuals consented,472,"medical records, outcome testing",-9,98,"lived in the community, aged 2-15 at the time of PSGN epidemics of 1980 and 1987, participated in health screening examinations during the study period",Yes,Yes,Yes,No,Yes,"ACR early marker for renal failure but studies show reliable
retrospective but more like a case contrl?.
Mentions that misclassification of PSGN status on clinical criteria a possibility
Remote aboriginal community subgroup",36,34,65,Total,prevalence of overt albuminuria in PSGN diagnosed cases,472,-9,-9,63,proportion,0.13,-9,-9,0.13,TRUE,0,0,,0,,5
35,36,Direct sequel of post-infection reactions,Chronic renal failure,no,Not stated,"""overt albuminuria"" ACR >= 34 mg/mmol",normal,odds ratio,,36,Padraig,15-May-15,Childhood post-streptococcal glomerulonephritis as a risk factor for chronic renal disease in later life,"White AV, Hoy WE, McCredie DA",2001,"White et al., 2001",retrospective cohort,Australia,Top End NT,community,1992,1998,,at screening,individuals consented,472,"medical records, outcome testing",-9,98,"lived in the community, aged 2-15 at the time of PSGN epidemics of 1980 and 1987, participated in health screening examinations during the study period",Yes,Yes,Yes,No,Yes,"ACR early marker for renal failure but studies show reliable
retrospective but more like a case contrl?.
Mentions that misclassification of PSGN status on clinical criteria a possibility
Remote aboriginal community subgroup",36,35,67,Total,"odds ratio for 'overt albuminuria' in PSGN cases versus controls, adjusted for age and sex",472,-9,-9,63,ratio,6.1,2.2,16.9,16.9,TRUE,0,0,,0,,5
36,36,Direct sequel of post-infection reactions,Chronic renal failure,no,Not stated,"""overt albuminuria"" ACR >= 34 mg/mmol",normal,PAF,population attributable fraction,36,Padraig,15-May-15,Childhood post-streptococcal glomerulonephritis as a risk factor for chronic renal disease in later life,"White AV, Hoy WE, McCredie DA",2001,"White et al., 2001",retrospective cohort,Australia,Top End NT,community,1992,1998,,at screening,individuals consented,472,"medical records, outcome testing",-9,98,"lived in the community, aged 2-15 at the time of PSGN epidemics of 1980 and 1987, participated in health screening examinations during the study period",Yes,Yes,Yes,No,Yes,"ACR early marker for renal failure but studies show reliable
retrospective but more like a case contrl?.
Mentions that misclassification of PSGN status on clinical criteria a possibility
Remote aboriginal community subgroup",36,36,68,Total,fraction of 'overt albuminuria' cases 'potentiallly' attributable to PSGN in this population,472,-9,-9,63,proportion,0.24,0.05,0.4,0.4,TRUE,0,0,,0,,5
37,33,Direct sequel of post-infection reactions,Chronic renal failure,,,overt albuminuria ACR >= 34 mg/mmol,,odds ratio,,33,Padraig,14-May-15,Post-streptococcal glomerulonephritis is a strong risk factor for chronic kidney disease in later life,"Hoy WE, White AV, Zdowling A, Sharma SK, Bloomfield H, Tipiloura BT, Swanson CE, Mathews JD, McCredie DA",2012,"Hoy et al., 2012",case-control,Australia,remote,remote community,2004,2006,2 years,community,individual,1519,clinical records and screening examinations,5-39 years,,"<40 yeares of age at tiem of screening, most recent episode of PSGN >= 5 years prior",,,,,,,33,37,69,Sex," OR 'overt albuminuria' in Males with history of PSGN over controls, aged 10-39 years",-9,-9,-9,-9,ratio,4.96,1.9,12.6,12.6,TRUE,0,0,,0,,5
